Project,Client,Title,Duration
SOS1819-sep-MIGP,,#1 Realización L05,00:15:09
SOS1819-sep-MIGP,,#1 Realización L06,01:42:06
SOS1819-sep-MIGP,,#1 Realización L07,00:01:55
SOS1819-sep-MIGP,,#10 Realización L15.,08:20:35
SOS1819-sep-MIGP,,#2 Realización L07,05:45:02
SOS1819-sep-MIGP,,#3 Realización L08,04:23:43
SOS1819-sep-MIGP,,#4 Realización L09,02:40:04
SOS1819-sep-MIGP,,#5 Realización L09,02:53:00
SOS1819-sep-MIGP,,#6 Realización L11,04:42:43
SOS1819-sep-MIGP,,#7 Realización L12,02:46:56
SOS1819-sep-MIGP,,#8 Realización L13,07:41:22
SOS1819-sep-MIGP,,#9 Realización L14.,02:05:47
